Bydel,Køn,Aldersgruppe,Personer,Brutto,Kategori
Vesterbro,Mænd,65 og derover,42,500.000-599.999 kr.,8
Vesterbro,Mænd,65 og derover,15,600.000-699.999 kr.,9
Vesterbro,Mænd,65 og derover,38,700.000 kr. og derover,10
Vesterbro,Kvinder,15-19 ,710,-49.999 kr.,1
Vesterbro,Kvinder,15-19 ,143,50.000-99.999 kr.,2
Vesterbro,Kvinder,15-19 ,58,100.000-149.999 kr.,3
Vesterbro,Kvinder,15-19 ,19,150.000-199.999 kr.,4
Vesterbro,Kvinder,15-19 ,6,200.000-299.999 kr.,5
Vesterbro,Kvinder,20-29 ,547,-49.999 kr.,1
Vesterbro,Kvinder,20-29 ,1228,50.000-99.999 kr.,2
Vesterbro,Kvinder,20-29 ,1761,100.000-149.999 kr.,3
Vesterbro,Kvinder,20-29 ,1572,150.000-199.999 kr.,4
Vesterbro,Kvinder,20-29 ,1358,200.000-299.999 kr.,5
Vesterbro,Kvinder,20-29 ,930,300.000-399.999 kr.,6
Vesterbro,Kvinder,20-29 ,262,400.000-499.999 kr.,7
Vesterbro,Kvinder,20-29 ,57,500.000-599.999 kr.,8
Vesterbro,Kvinder,20-29 ,10,600.000-699.999 kr.,9
Vesterbro,Kvinder,20-29 ,14,700.000 kr. og derover,10
Vesterbro,Kvinder,30-64 ,772,-49.999 kr.,1
Vesterbro,Kvinder,30-64 ,483,50.000-99.999 kr.,2
Vesterbro,Kvinder,30-64 ,1178,100.000-149.999 kr.,3
Vesterbro,Kvinder,30-64 ,1434,150.000-199.999 kr.,4
Vesterbro,Kvinder,30-64 ,2563,200.000-299.999 kr.,5
Vesterbro,Kvinder,30-64 ,3464,300.000-399.999 kr.,6
Vesterbro,Kvinder,30-64 ,2488,400.000-499.999 kr.,7
Vesterbro,Kvinder,30-64 ,1019,500.000-599.999 kr.,8
Vesterbro,Kvinder,30-64 ,373,600.000-699.999 kr.,9
Vesterbro,Kvinder,30-64 ,384,700.000 kr. og derover,10
Vesterbro,Kvinder,65 og derover,33,-49.999 kr.,1
Vesterbro,Kvinder,65 og derover,101,50.000-99.999 kr.,2
Vesterbro,Kvinder,65 og derover,383,100.000-149.999 kr.,3
Vesterbro,Kvinder,65 og derover,1085,150.000-199.999 kr.,4
Vesterbro,Kvinder,65 og derover,448,200.000-299.999 kr.,5
Vesterbro,Kvinder,65 og derover,168,300.000-399.999 kr.,6
Vesterbro,Kvinder,65 og derover,55,400.000-499.999 kr.,7
Vesterbro,Kvinder,65 og derover,28,500.000-599.999 kr.,8
Vesterbro,Kvinder,65 og derover,10,600.000-699.999 kr.,9
Vesterbro,Kvinder,65 og derover,10,700.000 kr. og derover,10
Valby,Mænd,15-19 ,907,-49.999 kr.,1
Valby,Mænd,15-19 ,119,50.000-99.999 kr.,2
Valby,Mænd,15-19 ,56,100.000-149.999 kr.,3
Valby,Mænd,15-19 ,22,150.000-199.999 kr.,4
Valby,Mænd,15-19 ,8,200.000-299.999 kr.,5
Valby,Mænd,15-19 ,1,300.000-399.999 kr.,6
Valby,Mænd,20-29 ,440,-49.999 kr.,1
Valby,Mænd,20-29 ,792,50.000-99.999 kr.,2
Valby,Mænd,20-29 ,808,100.000-149.999 kr.,3
Valby,Mænd,20-29 ,764,150.000-199.999 kr.,4
Valby,Mænd,20-29 ,944,200.000-299.999 kr.,5
Valby,Mænd,20-29 ,763,300.000-399.999 kr.,6
Valby,Mænd,20-29 ,312,400.000-499.999 kr.,7
Valby,Mænd,20-29 ,78,500.000-599.999 kr.,8
Valby,Mænd,20-29 ,22,600.000-699.999 kr.,9
Valby,Mænd,20-29 ,20,700.000 kr. og derover,10
Valby,Mænd,30-64 ,490,-49.999 kr.,1
Valby,Mænd,30-64 ,321,50.000-99.999 kr.,2
Valby,Mænd,30-64 ,1023,100.000-149.999 kr.,3
Valby,Mænd,30-64 ,1088,150.000-199.999 kr.,4
Valby,Mænd,30-64 ,1718,200.000-299.999 kr.,5
Valby,Mænd,30-64 ,2577,300.000-399.999 kr.,6
Valby,Mænd,30-64 ,1908,400.000-499.999 kr.,7
Valby,Mænd,30-64 ,1154,500.000-599.999 kr.,8
Valby,Mænd,30-64 ,652,600.000-699.999 kr.,9
Valby,Mænd,30-64 ,926,700.000 kr. og derover,10
Valby,Mænd,65 og derover,17,-49.999 kr.,1
Valby,Mænd,65 og derover,88,50.000-99.999 kr.,2
Valby,Mænd,65 og derover,521,100.000-149.999 kr.,3
Valby,Mænd,65 og derover,789,150.000-199.999 kr.,4
Valby,Mænd,65 og derover,483,200.000-299.999 kr.,5
Valby,Mænd,65 og derover,224,300.000-399.999 kr.,6
Valby,Mænd,65 og derover,135,400.000-499.999 kr.,7
Valby,Mænd,65 og derover,53,500.000-599.999 kr.,8
Valby,Mænd,65 og derover,25,600.000-699.999 kr.,9
Valby,Mænd,65 og derover,46,700.000 kr. og derover,10
Valby,Kvinder,15-19 ,926,-49.999 kr.,1
Valby,Kvinder,15-19 ,156,50.000-99.999 kr.,2
Valby,Kvinder,15-19 ,67,100.000-149.999 kr.,3
Valby,Kvinder,15-19 ,23,150.000-199.999 kr.,4
Valby,Kvinder,15-19 ,8,200.000-299.999 kr.,5
Valby,Kvinder,20-29 ,388,-49.999 kr.,1
Valby,Kvinder,20-29 ,840,50.000-99.999 kr.,2
Valby,Kvinder,20-29 ,1183,100.000-149.999 kr.,3
Valby,Kvinder,20-29 ,1110,150.000-199.999 kr.,4
Valby,Kvinder,20-29 ,1072,200.000-299.999 kr.,5
Valby,Kvinder,20-29 ,683,300.000-399.999 kr.,6
Valby,Kvinder,20-29 ,157,400.000-499.999 kr.,7
Valby,Kvinder,20-29 ,26,500.000-599.999 kr.,8
Valby,Kvinder,20-29 ,7,600.000-699.999 kr.,9
Valby,Kvinder,20-29 ,2,700.000 kr. og derover,10
Valby,Kvinder,30-64 ,436,-49.999 kr.,1
Valby,Kvinder,30-64 ,335,50.000-99.999 kr.,2
Valby,Kvinder,30-64 ,954,100.000-149.999 kr.,3
Valby,Kvinder,30-64 ,1238,150.000-199.999 kr.,4
Valby,Kvinder,30-64 ,2249,200.000-299.999 kr.,5
Valby,Kvinder,30-64 ,3013,300.000-399.999 kr.,6
Valby,Kvinder,30-64 ,1939,400.000-499.999 kr.,7
Valby,Kvinder,30-64 ,811,500.000-599.999 kr.,8
Valby,Kvinder,30-64 ,316,600.000-699.999 kr.,9
Valby,Kvinder,30-64 ,329,700.000 kr. og derover,10
Valby,Kvinder,65 og derover,27,-49.999 kr.,1
Valby,Kvinder,65 og derover,93,50.000-99.999 kr.,2
Valby,Kvinder,65 og derover,571,100.000-149.999 kr.,3
Valby,Kvinder,65 og derover,1585,150.000-199.999 kr.,4
Valby,Kvinder,65 og derover,720,200.000-299.999 kr.,5
Valby,Kvinder,65 og derover,237,300.000-399.999 kr.,6
Valby,Kvinder,65 og derover,80,400.000-499.999 kr.,7
Valby,Kvinder,65 og derover,25,500.000-599.999 kr.,8
Valby,Kvinder,65 og derover,14,600.000-699.999 kr.,9
Valby,Kvinder,65 og derover,16,700.000 kr. og derover,10
Vanløse,Mænd,15-19 ,738,-49.999 kr.,1
Vanløse,Mænd,15-19 ,95,50.000-99.999 kr.,2
Vanløse,Mænd,15-19 ,39,100.000-149.999 kr.,3
Vanløse,Mænd,15-19 ,18,150.000-199.999 kr.,4
Vanløse,Mænd,15-19 ,6,200.000-299.999 kr.,5
Vanløse,Mænd,20-29 ,331,-49.999 kr.,1
Vanløse,Mænd,20-29 ,608,50.000-99.999 kr.,2
Vanløse,Mænd,20-29 ,607,100.000-149.999 kr.,3
Vanløse,Mænd,20-29 ,517,150.000-199.999 kr.,4
Vanløse,Mænd,20-29 ,693,200.000-299.999 kr.,5
Vanløse,Mænd,20-29 ,558,300.000-399.999 kr.,6
Vanløse,Mænd,20-29 ,214,400.000-499.999 kr.,7
Vanløse,Mænd,20-29 ,54,500.000-599.999 kr.,8
Vanløse,Mænd,20-29 ,23,600.000-699.999 kr.,9
Vanløse,Mænd,20-29 ,11,700.000 kr. og derover,10
Vanløse,Mænd,30-64 ,359,-49.999 kr.,1
Vanløse,Mænd,30-64 ,232,50.000-99.999 kr.,2
Vanløse,Mænd,30-64 ,543,100.000-149.999 kr.,3
Vanløse,Mænd,30-64 ,657,150.000-199.999 kr.,4
Vanløse,Mænd,30-64 ,1184,200.000-299.999 kr.,5
Vanløse,Mænd,30-64 ,1990,300.000-399.999 kr.,6
Vanløse,Mænd,30-64 ,1584,400.000-499.999 kr.,7
Vanløse,Mænd,30-64 ,1032,500.000-599.999 kr.,8
Vanløse,Mænd,30-64 ,601,600.000-699.999 kr.,9
Vanløse,Mænd,30-64 ,940,700.000 kr. og derover,10
Vanløse,Mænd,65 og derover,14,-49.999 kr.,1
Vanløse,Mænd,65 og derover,40,50.000-99.999 kr.,2
Vanløse,Mænd,65 og derover,377,100.000-149.999 kr.,3
Vanløse,Mænd,65 og derover,558,150.000-199.999 kr.,4
Vanløse,Mænd,65 og derover,499,200.000-299.999 kr.,5
Vanløse,Mænd,65 og derover,285,300.000-399.999 kr.,6
Vanløse,Mænd,65 og derover,122,400.000-499.999 kr.,7
Vanløse,Mænd,65 og derover,86,500.000-599.999 kr.,8
Vanløse,Mænd,65 og derover,31,600.000-699.999 kr.,9
